submission_id,age,attentionCheck,attentionCheckResult,comments,decision1,decision2,education,experiment_duration,experiment_end_time,experiment_start_time,gender,informationSource,itemName,itemNr,languages,probs,prolific_pid,prolific_session_id,prolific_study_id,responseTime,scienceTeam,trialNR
1124,49,,,,10,NA,Graduated College,162535,1746798681368,1746798518833,female,direct,,1,,,66839058a88759d4987e3e1c,681e07aa9207276e17993090,681de8bec9bb6145fe65df53,13832,Localization,0
1124,49,,,,NA,80,Graduated College,162535,1746798681368,1746798518833,female,direct,,1,,,66839058a88759d4987e3e1c,681e07aa9207276e17993090,681de8bec9bb6145fe65df53,18814,Localization,0
1162,59,,,,10,NA,Higher degree,270710,1746799048919,1746798778210,male,direct,,1,,,63cac85f8519383ef0422593,681e089e014c4f5f39120fc1,681de8bec9bb6145fe65df53,28933,Localization,0
1162,59,,,,NA,90,Higher degree,270710,1746799048919,1746798778210,male,direct,,1,,,63cac85f8519383ef0422593,681e089e014c4f5f39120fc1,681de8bec9bb6145fe65df53,23306,Localization,0
1118,26,,,None,50,NA,Graduated High-school,114539,1746798615885,1746798501346,male,direct,,1,English,,5f828002935db93a4d29d577,681e07aba297eb9abc5d3025,681de8bec9bb6145fe65df53,13391,Localization,0
1118,26,,,None,NA,90,Graduated High-school,114539,1746798615885,1746798501346,male,direct,,1,English,,5f828002935db93a4d29d577,681e07aba297eb9abc5d3025,681de8bec9bb6145fe65df53,12107,Localization,0
1119,27,,,,79,NA,Graduated College,120300,1746798631813,1746798511513,female,direct,,1,english,,67acda05ca320fb05492087e,681e07a8b0883defe6450e3f,681de8bec9bb6145fe65df53,5091,Localization,0
1119,27,,,,NA,74,Graduated College,120300,1746798631813,1746798511513,female,direct,,1,english,,67acda05ca320fb05492087e,681e07a8b0883defe6450e3f,681de8bec9bb6145fe65df53,7759,Localization,0
1120,34,,,Thank you!,31,NA,Graduated College,116203,1746798593330,1746798477127,male,direct,,1,English,,6781e2745214f6bcc5c6d6c0,681e07b6c08f022b76adcd52,681de8bec9bb6145fe65df53,8298,Localization,0
1120,34,,,Thank you!,NA,84,Graduated College,116203,1746798593330,1746798477127,male,direct,,1,English,,6781e2745214f6bcc5c6d6c0,681e07b6c08f022b76adcd52,681de8bec9bb6145fe65df53,8609,Localization,0
1121,61,,,,60,NA,Graduated High-school,126777,1746798650269,1746798523492,male,direct,,1,English,,645179915e31c1aeb3dc8129,681e07aeb968123a85f01e2f,681de8bec9bb6145fe65df53,8128,Localization,0
1121,61,,,,NA,85,Graduated High-school,126777,1746798650269,1746798523492,male,direct,,1,English,,645179915e31c1aeb3dc8129,681e07aeb968123a85f01e2f,681de8bec9bb6145fe65df53,5432,Localization,0
1122,31,,,,22,NA,Higher degree,157939,1746798679349,1746798521410,female,direct,,1,English,,5ea8018973b0521f70fe7ba1,681e07ab9cbc355b12a70c19,681de8bec9bb6145fe65df53,7613,Localization,0
1122,31,,,,NA,77,Higher degree,157939,1746798679349,1746798521410,female,direct,,1,English,,5ea8018973b0521f70fe7ba1,681e07ab9cbc355b12a70c19,681de8bec9bb6145fe65df53,8889,Localization,0
1123,36,,,,90,NA,Higher degree,166495,1746798681252,1746798514757,male,direct,,1,English,,67c7da9b83ea5f02a7da1c93,681e07a7959ce6885411aea5,681de8bec9bb6145fe65df53,12700,Localization,0
1123,36,,,,NA,100,Higher degree,166495,1746798681252,1746798514757,male,direct,,1,English,,67c7da9b83ea5f02a7da1c93,681e07a7959ce6885411aea5,681de8bec9bb6145fe65df53,8454,Localization,0
1125,27,,,,15,NA,Graduated College,161801,1746798689150,1746798527349,male,direct,,1,English,,63127690860023ab6b50a0b2,681e07aa26b0452c3cecb03b,681de8bec9bb6145fe65df53,20132,Localization,0
1125,27,,,,NA,85,Graduated College,161801,1746798689150,1746798527349,male,direct,,1,English,,63127690860023ab6b50a0b2,681e07aa26b0452c3cecb03b,681de8bec9bb6145fe65df53,16357,Localization,0
1126,58,,,,32,NA,Graduated College,171549,1746798690108,1746798518559,female,direct,,1,english,,668b1f12cacd66a9de9d5394,681e07ab4e3105eca8443144,681de8bec9bb6145fe65df53,13736,Localization,0
1126,58,,,,NA,73,Graduated College,171549,1746798690108,1746798518559,female,direct,,1,english,,668b1f12cacd66a9de9d5394,681e07ab4e3105eca8443144,681de8bec9bb6145fe65df53,9216,Localization,0
1127,30,,,,30,NA,Graduated High-school,202894,1746798711059,1746798508165,male,direct,,1,English,,66d29886c53f1949f8275cba,681e07a819419407008745a5,681de8bec9bb6145fe65df53,15119,Localization,0
1127,30,,,,NA,75,Graduated High-school,202894,1746798711059,1746798508165,male,direct,,1,English,,66d29886c53f1949f8275cba,681e07a819419407008745a5,681de8bec9bb6145fe65df53,15333,Localization,0
1128,36,,,I love learning about companion planting and using it irl. I would be tempted to start a small test batch with the companion plant vs the normal crop and start to compare notes.,25,NA,Graduated High-school,196559,1746798716546,1746798519987,female,direct,,1,English,,66a40ef92583bab0623b11fe,681e07a7001afbabe73a15e6,681de8bec9bb6145fe65df53,17360,Localization,0
1128,36,,,I love learning about companion planting and using it irl. I would be tempted to start a small test batch with the companion plant vs the normal crop and start to compare notes.,NA,75,Graduated High-school,196559,1746798716546,1746798519987,female,direct,,1,English,,66a40ef92583bab0623b11fe,681e07a7001afbabe73a15e6,681de8bec9bb6145fe65df53,6272,Localization,0
1138,54,,,,16,NA,Graduated College,262953,1746798797243,1746798534290,male,direct,,1,english,,6605cd2fc352ad987368723a,681e07b964e87edc20a4532a,681de8bec9bb6145fe65df53,12982,Localization,0
1138,54,,,,NA,95,Graduated College,262953,1746798797243,1746798534290,male,direct,,1,english,,6605cd2fc352ad987368723a,681e07b964e87edc20a4532a,681de8bec9bb6145fe65df53,8078,Localization,0
1139,56,,,Thank you for the opportunity.,15,NA,Graduated College,204239,1746798817273,1746798613034,male,direct,,1,English,,6129781ecb8007ce6248a915,681e07eaf4041095c6920c7b,681de8bec9bb6145fe65df53,22621,Localization,0
1139,56,,,Thank you for the opportunity.,NA,50,Graduated College,204239,1746798817273,1746798613034,male,direct,,1,English,,6129781ecb8007ce6248a915,681e07eaf4041095c6920c7b,681de8bec9bb6145fe65df53,9972,Localization,0
1129,67,,,,50,NA,Graduated High-school,184960,1746798726064,1746798541104,male,direct,,1,English,,5a9e9fc46219a30001f54994,681e07c682f3b4c50746efa0,681de8bec9bb6145fe65df53,14146,Localization,0
1129,67,,,,NA,98,Graduated High-school,184960,1746798726064,1746798541104,male,direct,,1,English,,5a9e9fc46219a30001f54994,681e07c682f3b4c50746efa0,681de8bec9bb6145fe65df53,9331,Localization,0
