submission_id,age,attentionCheck,attentionCheckResult,comments,decision1,decision2,education,experiment_duration,experiment_end_time,experiment_start_time,gender,informationSource,itemName,itemNr,languages,probs,prolific_pid,prolific_session_id,prolific_study_id,responseTime,scienceTeam,trialNR
1096,18,,,N/A,23,NA,Graduated High-school,160686,1746792581648,1746792420962,male,indirect,,2,English,,5e4424749319f82bb3c5118f,681deecbb8318638a91c5491,681de8bec9bb6145fe65df53,19405,Cultivation,0
1096,18,,,N/A,NA,100,Graduated High-school,160686,1746792581648,1746792420962,male,indirect,,2,English,,5e4424749319f82bb3c5118f,681deecbb8318638a91c5491,681de8bec9bb6145fe65df53,7464,Cultivation,0
1109,21,,,,90,NA,Graduated College,245748,1746792909608,1746792663860,male,indirect,,2,English,,65faeb354511dc84270f57b5,681df0d0b4f301ab26c5b4f6,681de8bec9bb6145fe65df53,15480,Cultivation,0
1109,21,,,,NA,100,Graduated College,245748,1746792909608,1746792663860,male,indirect,,2,English,,65faeb354511dc84270f57b5,681df0d0b4f301ab26c5b4f6,681de8bec9bb6145fe65df53,3631,Cultivation,0
1099,55,,,,25,NA,Graduated High-school,480259,1746792611386,1746792131127,male,indirect,,2,english,,67deecb1e73145d35a1e419c,681dee9c4e3105eca8442edd,681de8bec9bb6145fe65df53,59174,Cultivation,0
1099,55,,,,NA,75,Graduated High-school,480259,1746792611386,1746792131127,male,indirect,,2,english,,67deecb1e73145d35a1e419c,681dee9c4e3105eca8442edd,681de8bec9bb6145fe65df53,22837,Cultivation,0
1103,42,,,,91,NA,Higher degree,612700,1746792735321,1746792122621,female,indirect,,2,English,,672380a64e984ba03695602f,681deea956d8d5aa6d1b290e,681de8bec9bb6145fe65df53,8343,Cultivation,0
1103,42,,,,NA,75,Higher degree,612700,1746792735321,1746792122621,female,indirect,,2,English,,672380a64e984ba03695602f,681deea956d8d5aa6d1b290e,681de8bec9bb6145fe65df53,44771,Cultivation,0
1105,43,,,,50,NA,Graduated College,219576,1746792824318,1746792604742,female,indirect,,2,English,,5b2bcfb51835660001cc6751,681df03613e6786038a20e6d,681de8bec9bb6145fe65df53,19129,Cultivation,0
1105,43,,,,NA,90,Graduated College,219576,1746792824318,1746792604742,female,indirect,,2,English,,5b2bcfb51835660001cc6751,681df03613e6786038a20e6d,681de8bec9bb6145fe65df53,18113,Cultivation,0
1057,48,,,,47,NA,Graduated College,124333,1746792056611,1746791932278,female,indirect,,2,English,,67aa34015d2def3278e3ee41,681dedeb12ffbeba0a7ac888,681de8bec9bb6145fe65df53,8256,Cultivation,0
1057,48,,,,NA,43,Graduated College,124333,1746792056611,1746791932278,female,indirect,,2,English,,67aa34015d2def3278e3ee41,681dedeb12ffbeba0a7ac888,681de8bec9bb6145fe65df53,7272,Cultivation,0
1058,34,,,N/A,61,NA,Graduated College,100922,1746792093331,1746791992409,male,indirect,,2,English,,6752b9e2aedb433712d10e46,681dee3126b0452c3cecad80,681de8bec9bb6145fe65df53,3695,Cultivation,0
1058,34,,,N/A,NA,71,Graduated College,100922,1746792093331,1746791992409,male,indirect,,2,English,,6752b9e2aedb433712d10e46,681dee3126b0452c3cecad80,681de8bec9bb6145fe65df53,4003,Cultivation,0
1059,28,,,,31,NA,Higher degree,138664,1746792100150,1746791961486,female,indirect,,2,English,,5e886b509c60bc4e238ca556,681dee13921a3784f8c4ae55,681de8bec9bb6145fe65df53,9609,Cultivation,0
1059,28,,,,NA,50,Higher degree,138664,1746792100150,1746791961486,female,indirect,,2,English,,5e886b509c60bc4e238ca556,681dee13921a3784f8c4ae55,681de8bec9bb6145fe65df53,8477,Cultivation,0
1063,74,,,,10,NA,Graduated High-school,321857,1746792193850,1746791871993,male,indirect,,2,English,,601b137a1e2f3c47fb566272,681dedb2006d6f6cf2072284,681de8bec9bb6145fe65df53,34336,Cultivation,0
