submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,languages,measure,prolific_pid,prolific_session_id,prolific_study_id,responseType,response,responseTime,trialNR
4504,23,This was fun.,association,Graduated High-school,684108,1668437783558,1668437099450,male,spaceColony,1,English,choice,634ad1cca828fbb8c355380f,6372546921e6cb0a523f2e78,62e8e1ca5c8e225c556e0af8,,both xeliherb and ralocrop,163959,0
4504,23,This was fun.,association,Graduated High-school,684108,1668437783558,1668437099450,male,spaceColony,1,English,justification,634ad1cca828fbb8c355380f,6372546921e6cb0a523f2e78,62e8e1ca5c8e225c556e0af8,,"I want to cultivate atleast a bit of both to understand the plants, what they do, how they grow etc. It would be important for us to understand everything about the planet we're on.",86417,1
4504,23,This was fun.,association,Graduated High-school,684108,1668437783558,1668437099450,male,spaceColony,1,English,reproduction,634ad1cca828fbb8c355380f,6372546921e6cb0a523f2e78,62e8e1ca5c8e225c556e0af8,nonsense,"Xeliherb is quite similar to the marijuana plants we have back home, but dont have the same negative side-effects of paranoia and laziness and instead motivates the person, give a sense of relaxition like the CBD part of marijauana. This would be used for both recreational and medical use, and can be profitable. Ralocrop on the other hand is quite like wheat, but unfortunatly there isnt that much of it.",406114,2
4506,53,Nothing to add - thank you.,association,Graduated College,139784,1668437976956,1668437837172,male,spaceColony,1,English,choice,616c1cc2510fe9022f6577f8,63725747179a815d731db78b,62e8e1ca5c8e225c556e0af8,,both xeliherb and ralocrop,32235,0
4506,53,Nothing to add - thank you.,association,Graduated College,139784,1668437976956,1668437837172,male,spaceColony,1,English,justification,616c1cc2510fe9022f6577f8,63725747179a815d731db78b,62e8e1ca5c8e225c556e0af8,,"I want to have a high yield of the former and, as that is associated with the presence of the latter then going for both seems sensible.",28638,1
4506,53,Nothing to add - thank you.,association,Graduated College,139784,1668437976956,1668437837172,male,spaceColony,1,English,reproduction,616c1cc2510fe9022f6577f8,63725747179a815d731db78b,62e8e1ca5c8e225c556e0af8,causation,Be aware that the highest yield of xeliherb comes from it being cultivated together with ralocrop.,58551,2
4512,50,Thank you,association,Graduated High-school,207599,1668438058313,1668437850714,male,spaceColony,1,English,choice,5e42c26bcea1861491e28258,637257476e7c8ece55ea757f,62e8e1ca5c8e225c556e0af8,,only xeliherb,35471,0
4512,50,Thank you,association,Graduated High-school,207599,1668438058313,1668437850714,male,spaceColony,1,English,justification,5e42c26bcea1861491e28258,637257476e7c8ece55ea757f,62e8e1ca5c8e225c556e0af8,,The other seed takes up to much time and water at present my choice is best we may grow the other when we are more established,53607,1
4512,50,Thank you,association,Graduated High-school,207599,1668438058313,1668437850714,male,spaceColony,1,English,reproduction,5e42c26bcea1861491e28258,637257476e7c8ece55ea757f,62e8e1ca5c8e225c556e0af8,directive-xeliherb,I would tell them to grow xeliherb for now as the colonies need it we may grow ralocrop in the future but it takes up a lot of water and time so beware,82196,2
4514,30,,association,Graduated High-school,238552,1668438071642,1668437833090,male,spaceColony,1,English,choice,5cfd47850526d1001984a86d,63725745d71ade1782cd3294,62e8e1ca5c8e225c556e0af8,,both xeliherb and ralocrop,64691,0
4514,30,,association,Graduated High-school,238552,1668438071642,1668437833090,male,spaceColony,1,English,justification,5cfd47850526d1001984a86d,63725745d71ade1782cd3294,62e8e1ca5c8e225c556e0af8,,Because when you cultivate xeliherb then to get a high yield it is also associated with ralocrop so as i want a high yield i would have both,63940,1
4514,30,,association,Graduated High-school,238552,1668438071642,1668437833090,male,spaceColony,1,English,reproduction,5cfd47850526d1001984a86d,63725745d71ade1782cd3294,62e8e1ca5c8e225c556e0af8,causation,To survive you need a constant supply of the seeds from a plant called xeliherb. To get a high yield of this you would also have ralocrop and although this is costly in terms and water and materials it is essential as we need high yields of xeliherb to survive.,98463,2
4522,24,,association,Graduated High-school,461508,1668438305735,1668437844227,male,spaceColony,1,English,choice,634d722ed315c4c88a998f9c,6372574615f46b3f4d42d4cf,62e8e1ca5c8e225c556e0af8,,both xeliherb and ralocrop,95192,0
4522,24,,association,Graduated High-school,461508,1668438305735,1668437844227,male,spaceColony,1,English,justification,634d722ed315c4c88a998f9c,6372574615f46b3f4d42d4cf,62e8e1ca5c8e225c556e0af8,,"From the information provided, I understand that xeliherb are essential to our survival on Xelifan-3. Therefore we must sacrifice some of our water and energy to cultivate ralocrop, as ralocrop seems to increase the yield of xeliherb. We should try to find a balance so that we have enough of both xeliherb and also water and energy.",167901,1
4522,24,,association,Graduated High-school,461508,1668438305735,1668437844227,male,spaceColony,1,English,reproduction,634d722ed315c4c88a998f9c,6372574615f46b3f4d42d4cf,62e8e1ca5c8e225c556e0af8,correlation,"Dear all,

As you know, xeliherb is essential for our survival on Xelifan-3. 

Recently, our science team has found that the presence of ralocrop increases the yield of xeliherb. As such, we must allocate some of our water and energy to cultive ralocrop alongside the xeliherb. 

Resources may be tight for a while, but trust me, this is paramount to our survival.

All the best,",176983,2
4524,49,None,association,Graduated High-school,596823,1668438454584,1668437857761,male,spaceColony,1,English,choice,60171c9b1a726593103182b3,63725749a964233aa3286cbb,62e8e1ca5c8e225c556e0af8,,both xeliherb and ralocrop,154381,0
4524,49,None,association,Graduated High-school,596823,1668438454584,1668437857761,male,spaceColony,1,English,justification,60171c9b1a726593103182b3,63725749a964233aa3286cbb,62e8e1ca5c8e225c556e0af8,,I would want to grow both in hopes that it produces enough to maintain life on the planet. It would be more costly to grow both but would be worth it to survive.,99044,1
